voltage,cap,freq
-2.9988,1.992492e-12,1000000.0
-2.9976,2.015308e-12,1000000.0
-2.9964,2.000011e-12,1000000.0
-2.9952,1.995573e-12,1000000.0
-2.9940,1.996227e-12,1000000.0
-2.9928,1.996093e-12,1000000.0
-2.9916,1.987716e-12,1000000.0
-2.9904,2.001352e-12,1000000.0
-2.9892,2.003402e-12,1000000.0
-2.9880,1.992813e-12,1000000.0
-2.9868,1.992029e-12,1000000.0
-2.9856,1.988875e-12,1000000.0
-2.9844,1.989580e-12,1000000.0
-2.9832,1.994667e-12,1000000.0
-2.9820,1.998463e-12,1000000.0
-2.9808,1.992335e-12,1000000.0
-2.9796,1.998103e-12,1000000.0
-2.9784,1.982205e-12,1000000.0
-2.9772,1.988549e-12,1000000.0
-2.9760,1.994287e-12,1000000.0
-2.9748,1.993872e-12,1000000.0
-2.9736,1.985900e-12,1000000.0
-2.9724,2.006330e-12,1000000.0
-2.9712,1.993464e-12,1000000.0
-2.9700,1.981373e-12,1000000.0
-2.9688,1.991786e-12,1000000.0
-2.9676,1.998626e-12,1000000.0
-2.9664,1.979246e-12,1000000.0
-2.9652,1.981131e-12,1000000.0
-2.9640,1.977968e-12,1000000.0
-2.9628,1.971846e-12,1000000.0
-2.9616,1.972316e-12,1000000.0
-2.9604,1.993547e-12,1000000.0
-2.9592,1.978760e-12,1000000.0
-2.9580,1.979341e-12,1000000.0
-2.9568,1.955368e-12,1000000.0
-2.9556,1.979825e-12,1000000.0
-2.9544,1.977822e-12,1000000.0
-2.9532,1.967542e-12,1000000.0
-2.9520,1.965632e-12,1000000.0
-2.9508,1.962166e-12,1000000.0
-2.9496,1.953990e-12,1000000.0
-2.9484,1.962430e-12,1000000.0
-2.9472,1.964543e-12,1000000.0
-2.9460,1.964343e-12,1000000.0
-2.9448,1.958268e-12,1000000.0
-2.9436,1.963161e-12,1000000.0
-2.9424,1.958692e-12,1000000.0
-2.9412,1.951890e-12,1000000.0
-2.9400,1.966253e-12,1000000.0
-2.9388,1.931078e-12,1000000.0
-2.9376,1.964920e-12,1000000.0
-2.9364,1.941912e-12,1000000.0
-2.9352,1.945856e-12,1000000.0
-2.9340,1.930097e-12,1000000.0
-2.9328,1.942049e-12,1000000.0
-2.9316,1.944275e-12,1000000.0
-2.9304,1.935108e-12,1000000.0
-2.9292,1.933071e-12,1000000.0
-2.9280,1.929088e-12,1000000.0
-2.9268,1.921090e-12,1000000.0
-2.9256,1.926872e-12,1000000.0
-2.9244,1.932225e-12,1000000.0
-2.9232,1.924692e-12,1000000.0
-2.9220,1.916756e-12,1000000.0
-2.9208,1.897620e-12,1000000.0
-2.9196,1.913933e-12,1000000.0
-2.9184,1.910155e-12,1000000.0
-2.9172,1.905614e-12,1000000.0
-2.9160,1.887425e-12,1000000.0
-2.9148,1.892759e-12,1000000.0
-2.9136,1.899075e-12,1000000.0
-2.9124,1.889995e-12,1000000.0
-2.9112,1.898152e-12,1000000.0
-2.9100,1.914161e-12,1000000.0
-2.9088,1.874152e-12,1000000.0
-2.9076,1.891990e-12,1000000.0
-2.9064,1.886695e-12,1000000.0
-2.9052,1.872603e-12,1000000.0
-2.9040,1.875327e-12,1000000.0
-2.9028,1.873402e-12,1000000.0
-2.9016,1.877359e-12,1000000.0
-2.9004,1.871620e-12,1000000.0
-2.8992,1.855335e-12,1000000.0
-2.8980,1.850835e-12,1000000.0
-2.8968,1.857913e-12,1000000.0
-2.8956,1.864655e-12,1000000.0
-2.8944,1.858338e-12,1000000.0
-2.8932,1.850334e-12,1000000.0
-2.8920,1.848448e-12,1000000.0
-2.8908,1.837421e-12,1000000.0
-2.8896,1.838981e-12,1000000.0
-2.8884,1.849586e-12,1000000.0
-2.8872,1.832427e-12,1000000.0
-2.8860,1.834320e-12,1000000.0
-2.8848,1.833307e-12,1000000.0
-2.8836,1.837624e-12,1000000.0
-2.8824,1.809122e-12,1000000.0
-2.8812,1.812017e-12,1000000.0
-2.8800,1.824604e-12,1000000.0
-2.8788,1.810461e-12,1000000.0
-2.8776,1.794111e-12,1000000.0
-2.8764,1.811541e-12,1000000.0
-2.8752,1.778257e-12,1000000.0
-2.8740,1.783694e-12,1000000.0
-2.8728,1.768927e-12,1000000.0
-2.8716,1.777874e-12,1000000.0
-2.8704,1.784600e-12,1000000.0
-2.8692,1.777225e-12,1000000.0
-2.8680,1.768607e-12,1000000.0
-2.8668,1.754502e-12,1000000.0
-2.8656,1.762348e-12,1000000.0
